Exchange,Name,"Root
Ticker"," QMV(C$)
30-September-2014 "," O/S Shares
30-September-2014 ",Clean Technology Sub-Sector,Sector,Listing Type,"Date of 
TSX Listing
YYYYMMDD","HQ
Location","HQ
Region","Interlisted
Code_I","TSX 
Venture 
Grad","Former
CPC",Index,"Sub
Sector",USA_City,USA_State,"Place of Incorporation
C=Canada
U=USA
F=Foreign",SP Grouping,SP_Sub,IDS/IPS,"Income Trust 
Conversion"," Volume YTD
30-September-2014 "," Value (C$) YTD
30-September-2014 "," Number of 
Trades YTD
30-September-2014 "," Number of
Months of 
Trading Data "
TSX,Ballard Power Systems Inc., BLD ,"  475,412,670 ","  132,059,075 ",Energy Efficiency,Clean Technology,,19930609,BC,Canada,TSX-NasdaqGM,,,,,,,C,,,,,"  175,389,007 ","  821,593,692 ","  439,787 ",9
TSX,Electrovaya Inc., EFL ,"  62,513,562 ","  75,317,545 ",Energy Efficiency,Clean Technology,,20001110,ON,Canada,,,,,,,,C,,,,,"  11,801,240 ","  12,990,298 ","  9,925 ",9
TSX,Hydrogenics Corporation, HYG ,"  190,698,165 ","  10,089,850 ",Energy Efficiency,Clean Technology,,20001031,ON,Canada,TSX-NasdaqGM,,,,,,,C,,,,,"  2,551,012 ","  66,107,976 ","  21,523 ",9
TSX,New Flyer Industries Inc., NFI ,"  802,920,130 ","  56,142,534 ",Energy Efficiency,Clean Technology,IPO,20050818,MB,Canada,,,,,,,,C,,,,,"  11,129,842 ","  148,672,170 ","  41,517 ",9
TSX,PFB Corporation, PFB ,"  29,029,117 ","  6,719,703 ",Energy Efficiency,Clean Technology,,19870616,AB,Canada,,,,,,,,C,,,,,"  351,626 ","  1,765,604 ",  840 ,9
TSX,Primary Energy Recycling Corporation, PRI ,"  250,354,642 ","  44,706,186 ",Energy Efficiency,Clean Technology,IPO,20050823,USA,USA,,,,,,Oak Brook,IL,C,,,IDS/IPS,2009,"  2,180,655 ","  11,347,932 ","  1,273 ",9
TSX,Westport Innovations Inc., WPT ,"  742,598,136 ","  63,146,100 ",Energy Efficiency,Clean Technology,TSXV Grad,19990630,BC,Canada,TSX-NasdaqGM,1,1,1,,,,C,,,,,"  17,564,608 ","  307,453,596 ","  135,834 ",9
TSX,Burcon NutraScience Corporation, BU ,"  107,151,901 ","  33,484,969 ",Low Impact Material and Products,Clean Technology,TSXV Grad,20090618,BC,Canada,TSX-NasdaqGM,1,,,Agriculture,,,C,,,,,"  11,720,950 ","  16,132,848 ","  11,953 ",9
TSX,Cascades Inc., CAS ,"  578,997,556 ","  94,145,944 ",Low Impact Material and Products,Clean Technology,,19841016,Quebec,Canada,,,,,,,,C,,,,,"  32,947,310 ","  218,156,551 ","  76,928 ",9
TSX,Catalyst Paper Corporation, CYT ,"  37,190,582 ","  14,527,571 ",Low Impact Material and Products,Clean Technology,Other,20130107,BC,Canada,,,,,,,,C,,,,,"  1,430,665 ","  3,318,942 ",  837 ,9
TSX,Clearwater Seafoods Incorporated, CLR ,"  574,521,124 ","  54,978,098 ",Low Impact Material and Products,Clean Technology,,20020730,NS,Canada,,,,,,,,C,,,,,"  9,246,766 ","  77,492,777 ","  18,167 ",9
TSX,DIRTT Environmental Solutions Ltd., DRT ,"  264,469,600 ","  74,498,479 ",Low Impact Material and Products,Clean Technology,IPO,20131128,AB,Canada,,,,,,,,C,,,,,"  28,692,028 ","  95,600,390 ","  16,255 ",9
TSX,EcoSynthetix Inc, ECO ,"  75,924,476 ","  50,616,317 ",Low Impact Material and Products,Clean Technology,IPO,20110804,ON,Canada,,,,,,,,C,,,,,"  9,169,633 ","  18,534,381 ","  4,765 ",9
TSX,KP Tissue Inc., KPT ,"  138,306,338 ","  8,848,774 ",Low Impact Material and Products,Clean Technology,IPO,20121213,ON,Canada,,,,,,,,C,,,,,"  3,596,077 ","  58,335,510 ","  11,668 ",9
