Exchange,Name,"Root
Ticker"," QMV(C$)
30-September-2014 "," O/S Shares
30-September-2014 ","Sub
Sector",Sector,Listing Type,"Date of 
TSX Listing
YYYYMMDD","HQ
Location","HQ
Region","Interlisted
Code_I","TSX 
Venture 
Grad","Former
CPC",Index,Diversified Industries Sub-Sector,China Region,"Place of Incorporation
C=Canada
U=USA
F=Foreign","Income Trust 
Conversion"," Volume YTD
30-September-2014 "," Value (C$) YTD
30-September-2014 "," Number of 
Trades YTD
30-September-2014 "," Number of
Months of 
Trading Data "
TSX,Akita Drilling Ltd., AKT ,"  264,036,986 ","  17,945,661 ",Energy Services,Diversified Industries,,19930108,AB,Canada,,,,,Industrial Products and Services,,C,,"  1,294,928 ","  20,661,415 ","  2,989 ",9
TSX,AltaGas Ltd., ALA ,"  7,112,753,496 ","  164,950,592 ",Energy Services,Diversified Industries,TSXV Grad,20000117,AB,Canada,,1,,1,Industrial Products and Services,,C,2004_2010,"  58,710,768 ","  2,650,363,199 ","  342,977 ",9
TSX,Badger Daylighting Ltd., BAD ,"  1,033,986,293 ","  37,033,893 ",Energy Services,Diversified Industries,,19970605,AB,Canada,,,,1,Industrial Products and Services,,C,2004_2011,"  35,497,719 ","  1,250,904,835 ","  161,967 ",9
TSX,Bri-Chem Corp., BRY ,"  39,907,622 ","  24,040,736 ",Energy Services,Diversified Industries,TSXV Grad,20110704,AB,Canada,,1,,,Industrial Products and Services,,C,,"  5,678,045 ","  9,348,838 ","  3,347 ",9
TSX,Calfrac Well Services Ltd., CFW ,"  1,647,902,688 ","  94,816,035 ",Energy Services,Diversified Industries,,19600408,AB,Canada,,,,1,Industrial Products and Services,,C,,"  45,474,188 ","  1,170,618,267 ","  256,904 ",9
TSX,Calmena Energy Services Inc., CEZ ,"  6,030,463 ","  301,523,164 ",Energy Services,Diversified Industries,IPO,20060810,AB,Canada,,,,,Industrial Products and Services,,C,2009,"  71,565,190 ","  1,966,038 ","  2,445 ",9
TSX,Canadian Energy Services & Technology Corp, CEU ,"  2,002,685,304 ","  213,505,896 ",Energy Services,Diversified Industries,IPO,20060301,AB,Canada,TSX-OTCQX,,,1,Industrial Products and Services,,C,2010,"  50,429,043 ","  1,029,923,533 ","  243,435 ",9
TSX,CanElson Drilling Inc, CDI ,"  595,860,751 ","  92,668,857 ",Energy Services,Diversified Industries,TSXV Grad,20110913,AB,Canada,,1,1,,Industrial Products and Services,,C,,"  59,716,335 ","  436,778,594 ","  118,856 ",9
TSX,Canyon Services Group Inc., FRC ,"  884,120,292 ","  68,589,627 ",Energy Services,Diversified Industries,IPO,20060501,AB,Canada,,,,1,Industrial Products and Services,,C,,"  72,881,376 ","  1,101,571,213 ","  307,420 ",9
TSX,Cathedral Energy Services Ltd, CET ,"  154,831,823 ","  36,260,380 ",Energy Services,Diversified Industries,,19870925,AB,Canada,,,,,Industrial Products and Services,,C,2002_2009,"  9,323,914 ","  41,971,975 ","  13,483 ",9
