Exchange,Name," Root
Ticker "," QMV (C$)
30-September-2014 "," O/S Shares
30-September-2014 ", Sub-Sector ,Sector,Type of Listing,Date of Listing,QT Date,RTO Date,Date of Amalgamation,Interlisted,"CPC/
Former
CPC","HQ
Location","HQ
Region",USA City,USA State,Cleantech Sub-Sector, Diversified Industries Sub-Sector ,Section," Volume YTD
30-September-2014 "," Value (C$) YTD
30-September-2014 "," Number of 
Trades YTD
30-September-2014 "," Number of
Months in
Trading Data ",AFRICA,AUS/NZ/PNG,CANADA,CHINA & ASIA,LATIN AMERICA,OTHER,UK/EUROPE,USA,Oil and Gas
TSXV, Canadian Oil Recovery & Remediation Enterprises Ltd. , CVR ,"  6,255,028 ","  113,727,784 ", Energy Services ,Clean Technology,QT,20070719,20080630,,,,Yes,ON,Canada,,,Waste Reduction and Water Management,, Tier1 ,"  16,434,599 ","  1,296,758 ","  1,440 ",9,,,,,,,,,
TSXV, Ceiba Energy Services Inc. , CEB ,"  98,258,880 ","  102,106,380 ", Energy Services ,Clean Technology,QT,20100929,20111017,,,,Yes,AB,Canada,,,Waste Reduction and Water Management,, Tier2 ,"  48,240,279 ","  36,853,206 ","  6,519 ",9,,,,,,,,,
TSXV, Formation Fluid Management Inc. , FFM ,"  19,939,304 ","  51,126,421 ", Energy Services ,Clean Technology,QT,20071012,20100706,,,,Yes,BC,Canada,,,Waste Reduction and Water Management,, Tier2 ,"  6,037,512 ","  2,152,531 ",  874 ,9,,,,,,,,,
TSXV, FSI Energy Group Inc , FSI ,"  793,174 ","  31,726,948 ", Energy Services ,Clean Technology,,,,,,,Yes,AB,Canada,,,Waste Reduction and Water Management,, Tier2 ,"  2,156,341 ","  96,749 ",  187 ,9,,,,,,,,,
TSXV, MCW Energy Group Limited , MCW ,"  55,297,016 ","  49,372,336 ", Energy Services ,Clean Technology,QT from NEX,20080730,20121022 NEX,,,OTCQX,Yes,USA,USA,Glendale,CA,Low Impact Material and Products,, Tier2 ,"  1,129,454 ","  1,037,651 ",  817 ,9,,,,,,,,UT,1
TSXV, New West Energy Services Inc , NWE ,"  6,290,728 ","  96,780,431 ", Energy Services ,Clean Technology,,,,,,,No,AB,Canada,,,Waste Reduction and Water Management,, Tier1 ,"  9,456,611 ","  647,007 ",  420 ,9,,,,,,,,,
TSXV, Questor Technology Inc. , QST ,"  96,805,763 ","  25,814,870 ", Energy Services ,Clean Technology,,19980303,,,,,No,AB,Canada,,,Low Impact Material and Products,, Tier2 ,"  31,448,514 ","  107,983,968 ","  25,492 ",9,,,,,,,,,
TSXV, RDX Technologies Corporation , RDX ,"  30,672,164 ","  175,269,506 ", Energy Services ,Clean Technology,QT,,20060721,,,OTCQX,Yes,AB,Canada,,,Waste Reduction and Water Management,, Tier1 ,"  82,399,757 ","  28,721,354 ","  13,611 ",9,,,,,,,,,
TSXV, Augusta Industries Inc , AAO ,"  22,191,382 ","  184,928,181 ", Energy Services ,Diversified Industries,RTO,,,20101004,,,No,ON,Canada,,,,Industrial Products and Services, Tier2 ,"  14,602,728 ","  1,672,483 ","  1,124 ",9,,,,,,,,,
TSXV, Aveda Transportation and Energy Services Inc , AVE ,"  93,806,404 ","  19,916,434 ", Energy Services ,Diversified Industries,RTO,,,20060606,,,No,AB,Canada,,,,Industrial Products and Services, Tier1 ,"  8,212,176 ","  40,175,555 ","  4,872 ",9,,,,,,,,,
TSXV, Cordy Oilfield Services Inc. , CKK ,"  12,970,802 ","  89,453,810 ", Energy Services ,Diversified Industries,,,,,,,No,AB,Canada,,,,Industrial Products and Services, Tier1 ,"  5,827,569 ","  1,002,088 ",  775 ,9,,,,,,,,,
TSXV, CWC Energy Services Corp. , CWC ,"  243,464,901 ","  270,516,557 ", Energy Services ,Diversified Industries,RTO,,,20050928,20050928,,Yes,AB,Canada,,,,Industrial Products and Services, Tier1 ,"  28,107,391 ","  28,554,888 ","  9,366 ",9,,,,,,,,,
TSXV, Dalmac Energy Inc. , DAL ,"  7,773,916 ","  23,247,406 ", Energy Services ,Diversified Industries,,,,,,,Yes,AB,Canada,,,,Industrial Products and Services, Tier2 ,"  1,871,908 ","  701,413 ",  354 ,9,,,,,,,,,
TSXV, Divergent Energy Services Corp. , DVG ,"  30,162,690 ","  91,402,090 ", Energy Services ,Diversified Industries,,,,,,,No,AB,Canada,,,,Industrial Products and Services, Tier2 ,"  16,732,179 ","  4,811,017 ","  1,728 ",9,,,,,,,,,
TSXV, Divestco Inc. , DVT ,"  7,355,168 ","  66,865,161 ", Energy Services ,Diversified Industries,TSX Comedown,20101006,,,,,No,AB,Canada,,,,Industrial Products and Services, Tier1 ,"  4,137,968 ","  574,328 ",  424 ,9,,,,,,,,,
TSXV, Enseco Energy Services Corp , ENS ,"  11,652,061 ","  22,407,809 ", Energy Services ,Diversified Industries,RTO from NEX,20050512,,20070327 NEX,,,No,AB,Canada,,,,Industrial Products and Services, Tier1 ,"  2,129,272 ","  981,010 ",  602 ,9,,,,,,,,,
TSXV, Estrella International Energy Services Ltd , EEN ,"  4,492,146 ","  2,994,764 ", Energy Services ,Diversified Industries,QT,20070920,20100705,,,,Yes,Argentina,Mexico and Central/South America,,,,Industrial Products and Services, Tier2 ,"  71,003 ","  162,881 ",  348 ,9,,,,,,,,,
TSXV, Eurocontrol Technics Group Inc , EUO ,"  6,591,252 ","  94,160,738 ", Energy Services ,Diversified Industries,,,,,,,No,ON,Canada,,,,Industrial Products and Services, Tier2 ,"  7,711,303 ","  768,872 ",  494 ,9,,,,,,,,,
