Company Name ,Ticker Symbol ,GICS Sector ,Country ,Disclosure Score,Performance Band,Scope 1 (metric tonnes CO2e),Scope 2 (metric tonnes CO2e)
3M Company,MMM US,Industrials,USA,68,C,4060000,2030000
ABB,ABBN VX,Industrials,Switzerland,76,D,722000,786000
Abbott Laboratories,ABT US,Health Care,USA,80,B,834000,822000
Accenture,ACN US,Information Technology,Ireland,93,B,12098,222168
Ace Ltd.,ACE US,Financials,Switzerland,94,A,12866,39609
Aetna Inc.,AET US,Health Care,USA,38,,7178,54375
AFLAC Incorporated,AFL US,Financials,USA,82,B,4585,21188
Air Liquide,AI FP,Materials,France,82,C,10549000,9994000
"Air Products & Chemicals, Inc.",APD US,Materials,USA,95,B,14440000,9878817
"Allergan, Inc.",AGN US,Health Care,USA,90,A,45309,51744
Allianz SE,ALV GR,Financials,Germany,97,A,70150,258733
"Altria Group, Inc.",MO US,Consumer Staples,USA,71,C,279395,267808
Ambev - Cia de Bebidas das Américas,AMBV4 BZ,Consumer Staples,Brazil,69,D,775768,185564
"American Electric Power Company, Inc.",AEP US,Utilities,USA,76,C,135671200,0
American Express,AXP US,Financials,USA,89,B,35313.09,195839.5
"American International Group, Inc.",AIG US,Financials,USA,14,,,
"Amgen, Inc.",AMGN US,Health Care,USA,75,B,126233,274718
Anadarko Petroleum Corporation,APC US,Energy,USA,70,D,2371282,
Anglo American,AAL LN,Materials,United Kingdom,94,A,9361858,9482604
Anglo American Platinum,AMS SJ,Materials,South Africa,96,B,540537,5450076
AngloGold Ashanti,ANG SJ,Materials,South Africa,78,C,1235000,3322000
Anheuser Busch InBev,ABI BB,Consumer Staples,Belgium,79,B,2720446,1647297
Antofagasta,ANTO LN,Materials,United Kingdom,64,E,565718,1318158
Apache Corporation,APA US,Energy,USA,64,D,11760000,1340000
Arcelor Mittal,MT NA,Materials,Luxembourg,85,C,162028000,17902000
Assicurazioni Generali Spa,G IM,Financials,Italy,80,B,18215.6,51944.4
Astellas Pharma Inc.,4503 JP,Health Care,Japan,70,B,89424.82,99721.47
AstraZeneca,AZN LN,Health Care,United Kingdom,73,B,375002,262553
AT&T Inc.,T US,Telecommunication Services,USA,95,B,1007201,8071070
Atlas Copco,ATCOA SS,Industrials,Sweden,76,D,28179,97822
Australia and New Zealand Banking Group,ANZ AU,Financials,Australia,87,B,18202,206220
"Automatic Data Processing, Inc.",ADP US,Information Technology,USA,71,D,17300,146000
AXA Group,CS FP,Financials,France,88,A,56301,128346
Baker Hughes Incorporated,BHI US,Energy,USA,66,D,485000,430000
Banco Bradesco S/A,BBDC4 BZ,Financials,Brazil,63,E,3477.76,12143.19
Banco do Brasil S/A,BBAS3 BZ,Financials,Brazil,57,E,5822,20176
Banco Santander,SAN SM,Financials,Spain,79,C,30271.65,384574.3
Banco Santander Brasil,SANB3 BZ,Financials,Brazil,83,B,7492.09,9331.5
Bank of America,BAC US,Financials,USA,93,A,110005,1599885
Bank of Montreal,BMO CN,Financials,Canada,91,A,21150.52,65602.89
Bank of Nova Scotia (Scotiabank),BNS CN,Financials,Canada,82,B,15027,97321
Barclays,BARC LN,Financials,United Kingdom,92,B,51138,822893
Barrick Gold Corporation,ABX CN,Materials,Canada,84,B,3004464,2026226
BASF SE,BAS GR,Materials,Germany,99,A,20920000,4879000
Baxter International Inc.,BAX US,Health Care,USA,77,C,336000,458000
Bayer AG,BAYN GR,Health Care,Germany,100,A,4230000,3920000
BBVA,BBVA SM,Financials,Spain,80,C,9964,335559
BCE Inc.,BCE CN,Telecommunication Services,Canada,74,C,85598,129431
"Becton, Dickinson and Co.",BDX US,Health Care,USA,59,D,79454,447426
BG Group,BG/ LN,Energy,United Kingdom,89,B,7507395,18015
BHP Billiton,BHP AU,Materials,United Kingdom,71,B,19863000,20963000
Biogen Idec Inc.,BIIB US,Health Care,USA,84,B,46557,54589
BMW AG,BMW GR,Consumer Discretionary,Germany,99,A,450829,956026
BNP Paribas,BNP FP,Financials,France,86,C,82995,422049
BNY Mellon,BK US,Financials,USA,90,B,9490,230078
Boeing Company,BA US,Industrials,USA,89,B,718000,1075000
BP,BP/ LN,Energy,United Kingdom,75,C,61820000,8970000
Bristol-Myers Squibb,BMY US,Health Care,USA,89,B,279981,266968
British American Tobacco,BATS LN,Consumer Staples,United Kingdom,86,B,355410,373680
British Sky Broadcasting,BSY LN,Consumer Discretionary,United Kingdom,86,B,22744,90345
Brookfield Asset Management Inc.,BAM/A CN,Financials,Canada,63,D,201794,529504
BT Group,BT/A LN,Telecommunication Services,United Kingdom,88,B,196290,1301734
CaixaBank,CABK SM,Financials,Spain,85,B,1821,1310
Canadian Imperial Bank of Commerce (CIBC),CM CN,Financials,Canada,68,C,23360,49126
Canadian National Railway Company,CNR CN,Industrials,Canada,77,C,4797401,172005
Canadian Natural Resources Limited,CNQ CN,Energy,Canada,38,,14833951,1783892
Capital One Financial,COF US,Financials,USA,67,D,15166,201041
Carnival Corporation,CCL US,Consumer Discretionary,United Kingdom,84,B,10949844,53228
Carrefour,CA FP,Consumer Staples,France,68,D,1978000,1871000
CBS Corp.,CBS US,Consumer Discretionary,USA,33,,,
Celgene Corporation,CELG US,Health Care,USA,54,C,7232,18761
Cenovus Energy Inc.,CVE CN,Energy,Canada,79,C,4025530,1054757
Centrica,CNA LN,Utilities,United Kingdom,96,B,7564949,131624
CenturyLink,CTL US,Telecommunication Services,USA,61,E,190204,1616601
Chevron Corporation,CVX US,Energy,USA,88,B,61346995,4561010
Christian Dior,CDI FP,Consumer Discretionary,France,58,E,41274,275537
Chunghwa Telecom,2412 TT,Telecommunication Services,Taiwan,70,E,25322.42,885556.12
"Cisco Systems, Inc.",CSCO US,Information Technology,USA,96,B,60382,610832
Citigroup Inc.,C US,Financials,USA,80,B,36750.52,1039178.2
CLP Holdings Limited,2 HK,Utilities,Hong Kong,92,B,44260000,190000
Cognizant Technology Solutions Corp.,CTSH US,Information Technology,USA,68,D,27829,144629
Colgate Palmolive Company,CL US,Consumer Staples,USA,91,B,239524,427057
Commonwealth Bank of Australia,CBA AU,Financials,Australia,88,B,13289,220179
ConocoPhillips,COP US,Energy,USA,81,C,59400000,10800000
"Consolidated Edison, Inc.",ED US,Utilities,USA,92,B,3370542,1142721
Corning Incorporated,GLW US,Information Technology,USA,42,,371844,1053862
Costco Wholesale Corporation,COST US,Consumer Staples,USA,39,,363805,1197983
Covidien Ltd.,COV US,Health Care,Ireland,51,E,215032.77,429378.73
Credit Suisse,CSGN VX,Financials,Switzerland,85,B,17812,224427
CSL,CSL AU,Health Care,Australia,60,D,52800,133700
CSX Corporation,CSX US,Industrials,USA,95,B,5397577,318864
CVS Caremark Corporation,CVS US,Consumer Staples,USA,82,D,216456,1572334
Daimler AG,DAI GR,Consumer Discretionary,Germany,99,A-,1016389,2502861
Danone,BN FP,Consumer Staples,France,97,B,495998,811259
Deere & Company,DE US,Industrials,USA,76,C,420019,1041067
Dell Inc.,DELL US,Information Technology,USA,81,B,38672,397558
Denso Corporation,6902 JP,Consumer Discretionary,Japan,61,D,581000,973000
Deutsche Bank AG,DBK GR,Financials,Germany,90,A,25073,304943
Deutsche Post AG,DPW GR,Industrials,Germany,97,B,4700000,900000
Deutsche Telekom AG,DTE GR,Telecommunication Services,Germany,81,C,414565,3041004
Devon Energy Corporation,DVN US,Energy,USA,76,C,7232882,1009209
Diageo Plc,DGE LN,Consumer Staples,United Kingdom,98,A,596506,93757
DIRECTV,DTV US,Consumer Discretionary,USA,91,B,120873,81792
DNB ASA,DNB NO,Financials,Norway,68,E,1292.3,10300.3
"Dominion Resources, Inc.",D US,Utilities,USA,78,C,56812875,256934
Dow Chemical Company,DOW US,Materials,USA,91,B,28130000,9021000
Duke Energy Corporation,DUK US,Utilities,USA,59,C,85271807,
E.I. du Pont de Nemours and Company,DD US,Materials,USA,94,B,14093100,5282400
E.ON SE,EOAN GR,Utilities,Germany,78,C,129240270,5656070
Airbus Group,AIR FP,Industrials,Netherlands,70,C,593529.5,455370.7
eBay Inc.,EBAY US,Consumer Discretionary,USA,72,D,15079,189870
Ecolab Inc.,ECL US,Materials,USA,93,B,189202,88525
Ecopetrol Sa,ECOPETL CB,Energy,Colombia,45,,6919507,209881
EDF,EDF FP,Utilities,France,87,B,70935790,81172
Eli Lilly & Co.,LLY US,Health Care,USA,65,C,409871,1119833
EMC Corporation,EMC US,Information Technology,USA,91,B,34987,349210
Emerson Electric Co.,EMR US,Industrials,USA,9,,289470,
Enbridge Inc.,ENB CN,Energy,Canada,84,C,1641028,3005321
Endesa,ELE SM,Utilities,Spain,92,C,50694969,351786
ENEL SpA,ENEL IM,Utilities,Italy,92,B,123540189,331641
Eni SpA,ENI IM,Energy,Italy,91,A,51099412,1190860
Ericsson,ERICB SS,Information Technology,Sweden,74,C,31835,227764
Exelon Corporation,EXC US,Utilities,USA,94,A,6600286,5541932
Express Scripts Holding Company,MHS US,Health Care,USA,48,,5370,71875
Exxon Mobil Corporation,XOM US,Energy,USA,75,C,136000000,14000000
FedEx Corporation,FDX US,Industrials,USA,70,D,13802445,989874
Ford Motor Company,F US,Consumer Discretionary,USA,72,C,1559240,3535959
Fortum Oyj,FUM1V FH,Utilities,Finland,98,B,23700000,206000
Orange,ORA FP,Telecommunication Services,France,89,A,392552,970091
"Franklin Resources, Inc.",BEN US,Financials,USA,79,C,9018,31360
Freeport-McMoRan Copper & Gold Inc.,FCX US,Materials,USA,88,C,5358795,4582267
Fresnillo plc,FRES LN,Materials,Mexico,61,E,285788,414552
Gas Natural SDG SA,GAS SM,Utilities,Spain,99,A,23177862.46,953498.4
Gazprom OAO,GAZP RM,Energy,Russia,57,E,137184240,0
GDF Suez,GSZ FP,Utilities,France,92,B,156899254,3357343
