"NAME","TICKER","COUNTRY","ICB","INDUS","SUP SEC","SEC","SUB SEC"
"Exxon Mobil Corp.","XOM","United States","0537","Oil & Gas","Oil & Gas","Oil & Gas Producers","Integrated Oil & Gas"
"Chevron Corp.","CVX","United States","0537","Oil & Gas","Oil & Gas","Oil & Gas Producers","Integrated Oil & Gas"
"BP PLC","BP","United Kingdom","0537","Oil & Gas","Oil & Gas","Oil & Gas Producers","Integrated Oil & Gas"
"Royal Dutch Shell PLC Cl A","RDS/A","United Kingdom","0537","Oil & Gas","Oil & Gas","Oil & Gas Producers","Integrated Oil & Gas"
"Total S.A.","TOT","France","0537","Oil & Gas","Oil & Gas","Oil & Gas Producers","Integrated Oil & Gas"
"Schlumberger Ltd.","SLB","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Royal Dutch Shell PLC B","RDS/B","United Kingdom","0537","Oil & Gas","Oil & Gas","Oil & Gas Producers","Integrated Oil & Gas"
"ConocoPhillips","COP","United States","0537","Oil & Gas","Oil & Gas","Oil & Gas Producers","Integrated Oil & Gas"
"Occidental Petroleum Corp.","OXY","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"ENI S.p.A.","E","Italy","0537","Oil & Gas","Oil & Gas","Oil & Gas Producers","Integrated Oil & Gas"
"Suncor Energy Inc.","SU","Canada","0537","Oil & Gas","Oil & Gas","Oil & Gas Producers","Integrated Oil & Gas"
"Petroleo Brasileiro S/A","PBR","Brazil","0537","Oil & Gas","Oil & Gas","Oil & Gas Producers","Integrated Oil & Gas"
"Anadarko Petroleum Corp.","APC","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Apache Corp.","APA","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Canadian Natural Resources Ltd.","CNQ","Canada","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"National Oilwell Varco Inc.","NOV","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Halliburton Co.","HAL","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
