Exchange,Name," Root
Ticker "," QMV (C$)
30-September-2014 "," O/S Shares
30-September-2014 ",Cleantech Sub-Sector,Sector,Type of Listing,Date of Listing,QT Date,RTO Date,Interlisted,"CPC/
Former
CPC","HQ
Location","HQ
Region",USA City,USA State,China Region, Sub-Sector ,Section," Volume YTD
30-September-2014 "," Value (C$) YTD
30-September-2014 "," Number of 
Trades YTD
30-September-2014 "," Number of
Months in
Trading Data ",AFRICA,AUS/NZ/PNG,CANADA,CHINA & ASIA,LATIN AMERICA,OTHER,UK/EUROPE,USA,Oil and Gas,Gold,Silver,Copper,Nickel,Diamond,Molybdenum,Platinum,Iron,Lead,Zinc,Rare Earths,Potash,Lithium,Uranium,Coal,Tungsten,Base & Precious Metals,Mineral Properties (General),Other Properties
TSXV, ATI Airtest Technologies Inc. , AAT ,"  1,546,029 ","  23,785,061 ",Energy Efficiency,Clean Technology,,,,,,No,BC,Canada,,,,, Tier2 ,"  2,216,140 ","  124,169 ",  157 ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, CRS Electronics Inc , LED ,"  14,151,977 ","  97,599,844 ",Energy Efficiency,Clean Technology,QT,20080402,20090525,,,Yes,ON,Canada,,,,, Tier2 ,"  3,186,366 ","  748,713 ",  366 ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, DynaCERT Inc. , DYA ,"  30,001,106 ","  162,168,139 ",Energy Efficiency,Clean Technology,,,,,,No,ON,Canada,,,,, Tier2 ,"  15,264,427 ","  1,771,571 ","  1,526 ",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, Free Energy International Inc , FEE ,"  410,750 ","  16,429,990 ",Energy Efficiency,Clean Technology,QT,20060728,20071102,,,Yes,BC,Canada,,,,, Tier2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, Legend Power Systems Inc , LPS ,"  30,183,247 ","  54,878,631 ",Energy Efficiency,Clean Technology,RTO,,,20080703,,No,BC,Canada,,,,, Tier2 ,"  21,058,775 ","  8,227,345 ","  1,929 ",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, MicroPlanet Technology Corp. , MP ,"  2,108,654 ","  210,865,426 ",Energy Efficiency,Clean Technology,QT,20040705,20050506,,,Yes,USA,USA,Seattle,WA,,, Tier2 ,"  2,933,581 ","  74,781 ",  295 ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, Nesscap Energy Inc , NCE ,"  19,752,080 ","  226,632,592 ",Energy Efficiency,Clean Technology,QT,20090102,20110124,,,Yes,Korea,China/Asia,,,Seoul,, Tier2 ,"  5,771,704 ","  685,973 ",  516 ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, Pioneering Technology Corp , PTE ,"  4,221,305 ","  26,383,155 ",Energy Efficiency,Clean Technology,RTO,,,20060405,,Yes,ON,Canada,,,,, Tier2 ,"  2,088,543 ","  374,084 ",  298 ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, Reg Technologies Inc. , RRE ,"  3,943,267 ","  49,384,592 ",Energy Efficiency,Clean Technology,,,,,,No,BC,Canada,,,,, Tier2 ,"  3,003,575 ","  283,873 ",  457 ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, SmartCool Systems Inc. , SSC ,"  3,560,692 ","  89,017,297 ",Energy Efficiency,Clean Technology,,,,,,No,BC,Canada,,,,, Tier2 ,"  20,302,574 ","  1,078,836 ",  619 ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, Sofame Technologies Inc. , SDW ,"  1,882,654 ","  188,265,397 ",Energy Efficiency,Clean Technology,,,,,,No,Quebec,Canada,,,,, Tier2 ,"  45,140,853 ","  458,063 ",  741 ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, Synodon Inc. , SYD ,"  15,059,040 ","  84,347,033 ",Energy Efficiency,Clean Technology,Other,20070122,,,,No,AB,Canada,,,,, Tier 2 ,"  36,322,432 ","  10,825,804 ","  7,553 ",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, Thermal Energy International Inc. , TMG ,"  16,909,685 ","  161,044,616 ",Energy Efficiency,Clean Technology,,,,,,No,ON,Canada,,,,, Tier2 ,"  18,486,140 ","  1,670,494 ","  1,840 ",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, ThermoCeramix Corporation , TCX ,"  14,972,774 ","  33,585,009 ",Energy Efficiency,Clean Technology,QT,20130201,20140407,,,Yes,Quebec,Canada,,,,, Tier2 ,"  11,282,194 ","  10,610,554 ","  1,891 ",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, Xebec Adsorption Inc. , XBC ,"  4,723,664 ","  39,363,867 ",Energy Efficiency,Clean Technology,TSX Comedown,20131223,,,,No,Quebec,Canada,,,,, Tier2 ,"  6,233,202 ","  454,061 ",  380 ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
