"Friday October 17, 2014","<span id=""yfs_j10_mmm"">88.95B</span>",91.47B,19.34,16.80,1.50,2.78,5.04,2.91,11.02,Dec 31,"Jun 30, 2014",15.29%,21.91%,12.65%,26.93%,31.45B,47.26,4.90%,14.76B,8.30B,4.81B,7.10,5.80%,3.01B,4.64,6.98B,39.08,1.87,26.78,5.88B,3.97B,1.10,9.94%,6.78%,147.87,122.40,141.84,141.63,"2,527,060","4,366,810",647.97M,644.50M,0.07%,70.70%,8.31M,3.40,1.40%,7.62M,3.42,2.50%,3.20,2.40%,2.40%,42.00%,"Sep 12, 2014","Aug 20, 2014",2:1,"Sep 30, 2003"
"Friday October 17, 2014"
"Friday October 17, 2014","<span id=""yfs_j10_abt"">61.20B</span>",60.44B,26.48,16.57,1.47,2.76,2.55,2.77,13.41,Dec 31,"Jun 30, 2014",10.98%,13.05%,4.22%,9.37%,21.82B,14.20,1.90%,11.81B,4.51B,2.15B,1.54,-2.10%,7.06B,4.70,7.36B,31.07,1.85,15.70,3.38B,1.24B,0.86,7.24%,6.78%,44.20,35.65,42.19,40.82,"4,782,070","6,395,460",1.50B,1.50B,0.16%,67.00%,11.20M,2.40,0.70%,10.94M,0.88,2.10%,0.88,2.20%,5.80%,47.00%,"Nov 15, 2014","Oct 10, 2014",2:1,"Jun 1, 1998"
"Friday October 17, 2014","<span id=""yfs_j10_acn"">48.40B</span>",43.17B,16.97,14.58,1.43,1.60,8.39,1.44,8.80,Aug 31,"Aug 31, 2014",9.80%,14.27%,15.38%,54.23%,30.00B,47.31,9.70%,9.38B,4.90B,2.94B,4.52,4.50%,4.92B,7.80,26.73M,0.43,1.46,9.08,3.49B,2.86B,1.42,4.49%,6.78%,85.88,72.31,79.79,80.05,"2,789,220","4,354,510",631.25M,628.38M,0.29%,82.30%,17.18M,5.30,2.70%,18.08M,2.04,2.70%,1.95,2.60%,2.10%,44.00%,"Nov 17, 2014","Oct 15, 2014",N/A,N/A
"Friday October 17, 2014","<span id=""yfs_j10_ace"">35.09B</span>",39.51B,10.46,11.24,2.14,1.77,1.14,2.03,9.50,Dec 31,"Jun 30, 2014",17.56%,20.75%,2.65%,11.90%,19.51B,57.46,2.90%,6.74B,4.16B,3.43B,9.99,-12.60%,2.70B,8.05,7.66B,25.25,0.39,90.19,4.31B,3.14B,1.17,6.14%,6.78%,108.62,92.00,105.52,103.43,"1,327,080","1,628,940",335.70M,332.99M,0.51%,92.90%,4.79M,4.50,1.40%,6.04M,2.60,2.50%,2.56,2.50%,2.20%,23.00%,"Oct 21, 2014","Sep 26, 2014",3:1,"Mar 3, 1998"
"Friday October 17, 2014","<span id=""yfs_j10_aet"">26.81B</span>",31.18B,13.22,10.55,1.10,0.48,1.77,0.57,6.66,Dec 31,"Jun 30, 2014",3.84%,7.41%,4.93%,14.90%,54.72B,150.34,25.80%,12.15B,4.69B,2.10B,5.72,2.40%,3.93B,11.10,9.08B,61.55,0.77,41.44,3.79B,3.48B,0.75,15.77%,6.78%,85.72,60.32,81.08,78.45,"2,429,460","3,549,300",354.60M,352.53M,0.33%,84.70%,6.18M,3.30,1.90%,5.91M,0.90,1.20%,0.90,1.20%,0.90%,15.00%,"Oct 31, 2014","Oct 14, 2014",2:1,"Feb 21, 2006"
"Friday October 17, 2014","<span id=""yfs_j10_afl"">25.61B</span>",31.02B,N/A,8.95,2.71,1.10,1.44,1.35,6.62,Dec 31,"Jun 30, 2014",12.68%,20.04%,2.36%,18.68%,23.03B,50.23,-2.10%,8.60B,4.68B,2.92B,N/A,-8.90%,2.26B,5.00,7.97B,45.42,0.23,38.76,7.98B,2.85B,N/A,-15.08%,6.78%,67.62,54.99,58.71,61.23,"2,200,740","2,807,800",453.04M,444.29M,3.02%,64.90%,3.76M,1.60,0.90%,3.77M,N/A,N/A,1.48,2.70%,2.50%,23.00%,"Sep 2, 2014","Aug 18, 2014",2:1,"Mar 19, 2001"
"Friday October 17, 2014","<span id=""yfs_j10_ai"">510.04M</span>",449.28M,6.65,5.44,0.58,7.35,0.81,6.53,N/A,Dec 31,"Jun 30, 2014",100.19%,74.68%,2.34%,11.86%,68.83M,3.94,265.00%,78.49M,N/A,68.96M,3.89,489.80%,2.84B,144.25,2.79B,447.57,1.07,31.58,54.32M,N/A,0.64,3.22%,6.78%,28.66,24.30,26.68,26.80,"342,240","458,575",19.71M,18.97M,2.27%,34.00%,2.75M,5.10,14.70%,2.87M,3.50,13.60%,3.50,13.60%,34.90%,88.00%,"Oct 31, 2014","Sep 25, 2014",1:20,"Oct 7, 2009"
"Friday October 17, 2014","<span id=""yfs_j10_apd"">27.34B</span>",33.03B,26.85,20.21,2.28,2.63,3.53,3.19,13.08,Sep 30,"Jun 30, 2014",9.90%,15.37%,5.55%,14.04%,10.35B,48.81,3.40%,2.71B,2.53B,1.03B,4.78,8.90%,337.60M,1.59,6.16B,75.16,1.06,36.13,2.09B,340.42M,1.37,15.90%,6.78%,137.45,102.73,129.84,126.24,"1,780,910","2,703,450",213.02M,191.63M,0.13%,85.80%,2.27M,1.00,1.10%,3.65M,3.08,2.50%,3.02,2.40%,2.70%,62.00%,"Nov 10, 2014","Sep 29, 2014",2:1,"Jun 16, 1998"
"Friday October 17, 2014","<span id=""yfs_j10_agn"">52.02B</span>",51.34B,41.18,20.86,1.52,7.84,7.79,7.61,22.82,Dec 31,"Jun 30, 2014",19.08%,30.63%,12.50%,21.09%,6.74B,22.69,16.70%,5.50B,2.25B,1.32B,4.25,15.90%,3.72B,12.50,2.15B,31.68,4.06,22.86,1.73B,1.49B,0.67,96.16%,6.78%,192.98,88.34,173.96,162.59,"2,278,980","3,781,250",297.18M,267.50M,0.17%,91.70%,3.89M,2.30,1.30%,3.62M,0.20,0.10%,0.20,0.10%,0.20%,5.00%,"Sep 5, 2014","Aug 13, 2014",2:1,"Jun 25, 2007"
